code,name,gender,function,category,country_code,country,country_full,disciplines,events
1533246,PEDRERO Ofelia,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team
1535775,RADHI SHENAISHIL,Male,Head Coach,C,IRQ,Iraq,Iraq,Football,Men
1536055,AFLAKIKHAMSEH Majid,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,
1536059,YOUSEFY Mehrdad,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,
1536060,MADDAH Minoo,Female,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,
1536328,LOFTUS Adriana,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team
1538313,FERRARA Fernando,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,
1538315,GULLA Alejandra,Female,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,Women
1538317,CAPURRO Santiago,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,
1538745,RONCONI Mariano,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,
1538748,PAULON Ezequiel,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,
1538751,VILA Matias,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,
1539598,KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Artistic Gymnastics,
1540258,DAVIS DIAZ David,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,
1540259,MENDOZA MORA Abel,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,
1540260,VICTORIA ESPINOSA de los Alfonso,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,
1540522,MILANO Guillermo,Male,Head Coach,C,ARG,Argentina,Argentina,Handball,Men
1540638,GOMEZ CORA Santiago,Male,Head Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men
1540639,GRAVANO Leonardo,Male,Assistant Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men
1540840,FILIORIANU Ana Luiza,Female,Coach,C,ROU,Romania,Romania,Rhythmic Gymnastics,
1542341,SMAILI Badr,Male,Coach,C,MAR,Morocco,Morocco,Taekwondo,
1542904,OCEGUERA ORNELAS Pavel,Male,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,
1542908,VALENZUELA GOMEZ Maria,Female,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,
1542913,MEZA PADILLA Jose,Male,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,
1542973,AGUILAR ROJAS Blajaith,Female,Coach,C,MEX,Mexico,Mexico,Rhythmic Gymnastics,
1542976,FURALEV Vladislav,Male,Coach,C,MEX,Mexico,Mexico,Rhythmic Gymnastics,
1543567,UPTON Patrick Anthony Howard,Male,Coach,C,IND,India,India,Hockey,
1543570,SCHOPMAN Johanna Dorothea Maria,Female,Coach,C,IND,India,India,Hockey,
1543575,HALKETT Rhett Kennedy,Male,Assistant Coach,C,IND,India,India,Hockey,
1543576,FULTON Craig Arthur,Male,Head Coach,C,IND,India,India,Hockey,
1543577,FARRY Anthony James,Male,Coach,C,IND,India,India,Hockey,
1544157,THORPE Karen,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Swimming,Duet
1544158,TOMOMATSU Yumiko,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Swimming,Duet
1544489,CURRAN Orlaith,Female,Assistant Coach,C,IRL,Ireland,Ireland,Rugby Sevens,Women
1545106,NASKAR Arup,Male,Coach,C,IND,India,India,Hockey,
1545139,CHINNASAMY Ashok Kumar,Male,Coach,C,IND,India,India,Hockey,
1545947,BUSNARI Alberto,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1545949,COCCIARO Giuseppe,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1545950,FORTUNA Marco,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1545955,BERGAMELLI Monica Roberta,Female,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1546310,CHIRILCENCO Marc Michel,Male,Coach,C,ALG,Algeria,Algeria,Artistic Gymnastics,
1546312,HAMICI Saad Eddine,Male,Coach,C,ALG,Algeria,Algeria,Artistic Gymnastics,
1546698,HERRANZ MARTIN Miguel Angel,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546699,RAMAL MUNOZ Jesus,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546700,SEIJO GIEBELS Christian Jaime,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546701,TOLEDO AROCA Antonio,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546702,YAGUE ENRIQUE Brigida,Female,Coach,C,ESP,Spain,Spain,Taekwondo,
1548427,JONES Gilmar,Male,Coach,C,SUR,Suriname,Suriname,Taekwondo,
1548848,DIMITROVA Vesela,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548875,STOYNEVA Yasena,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548895,MARKOVA Branimira,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548902,PAMUKOVA Mariyana,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548919,IVANOVA Valentina,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1549452,LEE Eui Yong,Male,Coach,C,GAM,Gambia,Gambia,Taekwondo,
1550038,ARILL Samuel,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women
1550039,MORALES OTERO Carlos,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women
1550047,BATISTA Gerardo,Male,Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women
1550196,COTUTIU Florin,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550198,JONES Daymon,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550199,KIENS Patrick,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550201,MOROSAN Corina,Female,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550203,VOINEA Camelia,Female,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550267,BERBECAR Marius,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1552001,LIU Tsung-Ta,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Taekwondo,
1555083,GEORGALLAS Irodotos,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,
1555113,PETRIDIS Panagiotis,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,
1555115,FLANNERY Eimear,Female,Assistant Coach,C,IRL,Ireland,Ireland,Rugby Sevens,Men
1555131,SHIPPI Panayiotis,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,
1555182,TRIKOMITI Chrystalleni,Female,Coach,C,CYP,Cyprus,Cyprus,Rhythmic Gymnastics,
1556249,DEACU George,Male,Assistant Coach,C,ROU,Romania,Romania,Water Polo,Men
1556255,RATH Bogdan,Male,Head Coach,C,ROU,Romania,Romania,Water Polo,Men
1557013,ARIAS Ramon,Male,Coach,C,CHI,Chile,Chile,Taekwondo,
1559048,WIBERG Johanna,Female,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Women
1559066,FORSBERG Thomas,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Women
1559067,AXNER Tomas,Male,Head Coach,C,SWE,Sweden,Sweden,Handball,Women
1560169,DIOVOL Alioune,Male,Coach,C,SEN,Senegal,Senegal,Taekwondo,
1561282,da ROCHA Cristiano,Male,Head Coach,C,BRA,Brazil,Brazil,Handball,Women
1561719,ALTENBURG Valentin,Male,Head Coach,C,GER,Germany,Germany,Hockey,
1561732,HENNING Andre,Male,Head Coach,C,GER,Germany,Germany,Hockey,
1561734,SCHMITZ Johannes,Male,Assistant Coach,C,GER,Germany,Germany,Hockey,
1561740,ARKELL Robin,Male,Coach,C,GER,Germany,Germany,Hockey,
1561741,GADEMAN Pasha,Male,Assistant Coach,C,GER,Germany,Germany,Hockey,
1562260,WEIDINGER Markus,Male,Coach,C,AUT,Austria,Austria,Taekwondo,
1562563,SOLBERG Glenn,Male,Head Coach,C,SWE,Sweden,Sweden,Handball,Men
1562564,SVENSSON Tomas,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Men
1562566,APELGREN Michael,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Men
1562778,TANKOUCHEV Milko,Male,Coach,C,BUL,Bulgaria,Bulgaria,Artistic Gymnastics,
1562790,YANEV Filip,Male,Coach,C,BUL,Bulgaria,Bulgaria,Artistic Gymnastics,
1562963,WINIARSKI Michal,Male,Head Coach,C,GER,Germany,Germany,Volleyball,Men
1562973,RANNER Thomas,Male,Assistant Coach,C,GER,Germany,Germany,Volleyball,Men
1562974,POSMYK Dominik,Male,Assistant Coach,C,GER,Germany,Germany,Volleyball,Men
1563661,SALLAH Mariama M.,Female,Coach,C,GAM,Gambia,Gambia,Taekwondo,
1563956,TUMILTY Mark,Male,Head Coach,C,IRL,Ireland,Ireland,Hockey,
1563966,TOTH Balazs,Male,Coach,C,GER,Germany,Germany,Taekwondo,
1564287,QUSAI MUNIR,Male,Assistant Coach,C,IRQ,Iraq,Iraq,Football,Men
1564321,CRUZ LOPEZ Jose L,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men
1564323,COLON Nelson,Male,Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men
1564325,CRUZ Rafael,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men
1564413,BESHEER Gamal,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,
1564469,MOHAMED Ahmed,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,
1564470,ABDELMEGUID Zakaria,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,
1564477,MOHAMED Mayar,Female,Coach,C,EGY,Egypt,Egypt,Rhythmic Gymnastics,
1564481,HUSSEIN Noha,Female,Coach,C,EGY,Egypt,Egypt,Rhythmic Gymnastics,
1565043,MOUNDOUNGA KOMBILA Stephane,Male,Coach,C,GAB,Gabon,Gabon,Taekwondo,
1565143,MLADENOVA Albena,Female,Coach,C,AUT,Austria,Austria,Artistic Swimming,Duet
1565591,AL-ASSAF Faris,Male,Coach,C,JOR,Jordan,Jordan,Taekwondo,
1565609,ALSADEQ Yazan,Male,Coach,C,JOR,Jordan,Jordan,Taekwondo,
1565612,ALJALLAD Riham,Female,Coach,C,JOR,Jordan,Jordan,Taekwondo,
1565657,KRAVCHENKO Sergiy,Male,Assistant Coach,C,UKR,Ukraine,Ukraine,Football,
1565672,ROTAN Ruslan,Male,Head Coach,C,UKR,Ukraine,Ukraine,Football,Men
1565759,SIREKANYAN Gurgen,Male,Coach,C,JOR,Jordan,Jordan,Artistic Gymnastics,
1566325,FREHSE Gabriele,Female,Coach,C,AUT,Austria,Austria,Artistic Gymnastics,
1566746,SAHIN Ali,Male,Coach,C,TUR,Türkiye,Türkiye,Taekwondo,
1566749,TAZEGUL Servet,Male,Coach,C,TUR,Türkiye,Türkiye,Taekwondo,
1567065,BABEL Vincent,Male,Coach,C,SUR,Suriname,Suriname,Taekwondo,
1568152,GOKTEKIN Yilmaz,Male,Coach,C,TUR,Türkiye,Türkiye,Artistic Gymnastics,
1568153,NURI Tufan,Male,Coach,C,TUR,Türkiye,Türkiye,Artistic Gymnastics,
1568648,GOJKOVIC Vladimir,Male,Head Coach,C,MNE,Montenegro,Montenegro,Water Polo,Men
1569994,TOMAS Toni,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,
1569995,LAURA Veljko,Male,Coach,C,CRO,Croatia,Croatia,Taekwondo,
1569996,MESAROV Dejan,Male,Coach,C,CRO,Croatia,Croatia,Taekwondo,
1572261,GALAMBOS Bence,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572269,MARTON Luana,Female,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572364,SALIM Gergely,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572370,SALIM Sharif Gergely,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572373,MIKKONEN Suvi,Female,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572650,ROUSSEAUX Emile,Male,Head Coach,C,FRA,France,France,Volleyball,Women
1572652,ANDRE Felix,Male,Assistant Coach,C,FRA,France,France,Volleyball,Women
1572654,GAUTHIER Charles,Male,Assistant Coach,C,FRA,France,France,Volleyball,Women
1573466,TOUPANE Jean Aime,Male,Coach,C,FRA,France,France,Basketball,Women
1573467,MELAIN Catherine,Female,Assistant Coach,C,FRA,France,France,Basketball,Women
1573468,GAUTIER David,Male,Assistant Coach,C,FRA,France,France,Basketball,
1573469,HALIN Gregory,Male,Coach,C,FRA,France,France,Basketball,
1573470,LEONARD Christophe,Male,Coach,C,FRA,France,France,Basketball,
1573668,COLLET Vincent,Male,Coach,C,FRA,France,France,Basketball,Men
1573669,DONNADIEU Pascal,Male,Assistant Coach,C,FRA,France,France,Basketball,Men
1573670,ATKINSON Kenny,Male,Assistant Coach,C,FRA,France,France,Basketball,Men
1573671,NELHOMME Ruddy,Male,Coach,C,FRA,France,France,Basketball,
1573672,GOMIS Joseph,Male,Coach,C,FRA,France,France,Basketball,
1574076,CIAMARRA Roberto,Male,Assistant Coach,C,FRA,France,France,Volleyball,Men
1574080,GEILER Loic,Male,Assistant Coach,C,FRA,France,France,Volleyball,Men
1574082,GIANI Andrea,Male,Head Coach,C,FRA,France,France,Volleyball,Men
1830240,WENG Shih-Hang,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Artistic Gymnastics,
1835894,TSAI Heng-Cheng,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Artistic Gymnastics,
1878950,SANTARELLI Daniele,Male,Head Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1878952,FLISI Diego,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1878956,ZOTTA Andrea,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1879044,VATANSEVER Recep,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1879645,DARET Jerome,Male,Head Coach,C,FRA,France,France,Rugby Sevens,Men
1879871,KRUMBHOLZ Olivier,Male,Head Coach,C,FRA,France,France,Handball,Women
1879872,GARDILLOU Sebastien,Male,Assistant Coach,C,FRA,France,France,Handball,Women
1879875,LEYNAUD Amandine,Female,Assistant Coach,C,FRA,France,France,Handball,Women
1880219,GALKIN Evgeniy,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Artistic Gymnastics,
1880226,ABDUSAMATOV Khusniddin,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Artistic Gymnastics,
1880388,MWEMA Kevin,Male,Head Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men
1880389,AMONDE Andrew,Male,Assistant Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men
1880390,KISIA Louis,Male,Assistant Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men
1880620,HRUBESCH Horst,Male,Head Coach,C,GER,Germany,Germany,Football,Women
1880626,CARLSON Britta,Female,Assistant Coach,C,GER,Germany,Germany,Football,Women
1880629,FUCHS Michael,Male,Goalkeeper Coach,C,GER,Germany,Germany,Football,Women
1880639,NOERENBERG Thomas,Male,Assistant Coach,C,GER,Germany,Germany,Football,Women
1880657,MUKHAMEDOVA Rano,Female,Coach,C,UZB,Uzbekistan,Uzbekistan,Rhythmic Gymnastics,
1880659,VLASOVA Liliya,Female,Coach,C,UZB,Uzbekistan,Uzbekistan,Rhythmic Gymnastics,
1887640,KHAN Pavel,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1887642,RAFALOVICH Maksim,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1887644,KHAN Vladimir,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1887648,BAYKUZIYEV Jasur,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1888131,PAKKAN Saim,Male,Assistant Coach,C,SRB,Serbia,Serbia,Volleyball,Women
1888241,NISHIIRI Toshihiro,Male,Goalkeeper Coach,C,JPN,Japan,Japan,Football,
1888242,IKEDA Futoshi,Male,Head Coach,C,JPN,Japan,Japan,Football,Women
1888246,MIYAMOTO Tomomi,Female,Assistant Coach,C,JPN,Japan,Japan,Football,
1888338,MENEZES Jude,Male,Head Coach,C,JPN,Japan,Japan,Hockey,
1888344,OZAWA Kazuyuki,Male,Assistant Coach,C,JPN,Japan,Japan,Hockey,
1888372,ERSIMSEK Ahmetcan,Male,Assistant Coach,C,SRB,Serbia,Serbia,Volleyball,Women
1888498,ROTHMAN Neville,Male,Assistant Coach,C,IRL,Ireland,Ireland,Hockey,
1891425,GELLE Noemi Katalin,Female,Coach,C,HUN,Hungary,Hungary,Rhythmic Gymnastics,
1891653,NAGANUMA Atsushi,Male,Assistant Coach,C,JPN,Japan,Japan,Water Polo,Men
1891659,HAZUI Shota,Male,Assistant Coach,C,JPN,Japan,Japan,Water Polo,Men
